case,species,series,time_h,value
validation,nitrate,model,1.28394,8.738368
validation,nitrate,model,1.37994,7.489144
validation,nitrate,model,1.47594,6.312159
validation,nitrate,model,1.57194,5.214911
validation,nitrate,model,1.660739,4.277428
validation,nitrate,model,1.740894,3.500072
validation,nitrate,model,1.813329,2.857368
validation,nitrate,model,1.878467,2.330421
validation,nitrate,model,1.93699,1.900054
validation,nitrate,model,1.989895,1.547474
validation,nitrate,model,2.037984,1.258134
validation,nitrate,model,2.08191,1.02063
validation,nitrate,model,2.122221,0.825858
validation,nitrate,model,2.159393,0.666429
validation,nitrate,model,2.193848,0.536259
validation,nitrate,model,2.225971,0.43028
validation,nitrate,model,2.256119,0.344235
validation,nitrate,model,2.284633,0.274544
validation,nitrate,model,2.311836,0.218208
validation,nitrate,model,2.338037,0.172736
validation,nitrate,model,2.363531,0.13608
validation,nitrate,model,2.388598,0.106575
validation,nitrate,model,2.4135,0.082878
validation,nitrate,model,2.438488,0.063903
validation,nitrate,model,2.463804,0.048777
validation,nitrate,model,2.489684,0.036792
validation,nitrate,model,2.516363,0.027369
validation,nitrate,model,2.543691,0.020123
validation,nitrate,model,2.569823,0.014943
validation,nitrate,model,2.595482,0.011124
validation,nitrate,model,2.621041,0.00827
validation,nitrate,model,2.6468,0.006121
validation,nitrate,model,2.67303,0.004496
validation,nitrate,model,2.699993,0.003268
validation,nitrate,model,2.727955,0.002342
validation,nitrate,model,2.757185,0.001651
validation,nitrate,model,2.787968,0.001139
validation,nitrate,model,2.820607,0.00079
validation,nitrate,model,2.859305,0.000576
validation,nitrate,model,2.891927,0.000468
validation,nitrate,model,2.933418,0.000378
validation,nitrate,model,2.981746,0.000308
validation,nitrate,model,3.037754,0.000254
validation,nitrate,model,3.102524,0.000211
validation,nitrate,model,3.17872,0.000175
validation,nitrate,model,3.273479,0.000145
validation,nitrate,model,3.369479,0.000123
validation,nitrate,model,3.465479,0.000107
validation,nitrate,model,3.561479,9.5e-05
validation,nitrate,model,3.657479,8.5e-05
validation,nitrate,model,3.753479,7.7e-05
validation,nitrate,model,3.849479,7e-05
validation,nitrate,model,3.945479,6.5e-05
validation,nitrate,model,4.041479,6e-05
validation,nitrate,model,4.137479,5.6e-05
validation,nitrate,model,4.233479,5.2e-05
validation,nitrate,model,4.329479,4.9e-05
validation,nitrate,model,4.425479,4.7e-05
validation,nitrate,model,4.521479,4.4e-05
validation,nitrate,model,4.617479,4.2e-05
validation,nitrate,model,4.713479,4e-05
validation,nitrate,model,4.8,3.8e-05
